"","Time","Well","OD600","Colony","Dose"
"311",915,"V4",0.757916666666667,"E","Wtsham"
"312",930,"V4",0.762583333333333,"E","Wtsham"
"313",945,"V4",0.760833333333333,"E","Wtsham"
"314",960,"V4",0.768583333333333,"E","Wtsham"
"315",975,"V4",0.7625,"E","Wtsham"
"316",990,"V4",0.771583333333333,"E","Wtsham"
"317",1005,"V4",0.768916666666667,"E","Wtsham"
"318",1020,"V4",0.769333333333333,"E","Wtsham"
"319",1035,"V4",0.763416666666667,"E","Wtsham"
"320",1050,"V4",0.766666666666667,"E","Wtsham"
"321",1065,"V4",0.77,"E","Wtsham"
"322",1080,"V4",0.756166666666667,"E","Wtsham"
"323",1095,"V4",0.752916666666667,"E","Wtsham"
"324",1110,"V4",0.752333333333333,"E","Wtsham"
"325",1125,"V4",0.75075,"E","Wtsham"
"326",1140,"V4",0.744333333333333,"E","Wtsham"
"327",1155,"V4",0.743833333333333,"E","Wtsham"
"328",1170,"V4",0.736166666666667,"E","Wtsham"
"329",1185,"V4",0.729333333333333,"E","Wtsham"
"330",1200,"V4",0.730166666666667,"E","Wtsham"
"331",1215,"V4",0.72875,"E","Wtsham"
"332",1230,"V4",0.727833333333333,"E","Wtsham"
"333",0,"V5",0.00591666666666668,"F","Wtsham"
"334",15,"V5",0.01325,"F","Wtsham"
"335",30,"V5",0.0131666666666667,"F","Wtsham"
"336",45,"V5",0.0111666666666667,"F","Wtsham"
"337",60,"V5",0.0173333333333333,"F","Wtsham"
"338",75,"V5",0.0239166666666667,"F","Wtsham"
"339",90,"V5",0.0241666666666667,"F","Wtsham"
"340",105,"V5",0.0295833333333333,"F","Wtsham"
"341",120,"V5",0.0339166666666667,"F","Wtsham"
"342",135,"V5",0.04225,"F","Wtsham"
"343",150,"V5",0.0468333333333333,"F","Wtsham"
"344",165,"V5",0.0564166666666667,"F","Wtsham"
"345",180,"V5",0.0730833333333333,"F","Wtsham"
"346",195,"V5",0.0779166666666667,"F","Wtsham"
"347",210,"V5",0.0895,"F","Wtsham"
"348",225,"V5",0.102916666666667,"F","Wtsham"
"349",240,"V5",0.116583333333333,"F","Wtsham"
"350",255,"V5",0.130333333333333,"F","Wtsham"
"351",270,"V5",0.145083333333333,"F","Wtsham"
"352",285,"V5",0.158,"F","Wtsham"
"353",300,"V5",0.176833333333333,"F","Wtsham"
"354",315,"V5",0.19575,"F","Wtsham"
"355",330,"V5",0.217,"F","Wtsham"
"356",345,"V5",0.227416666666667,"F","Wtsham"
"357",360,"V5",0.249416666666667,"F","Wtsham"
"358",375,"V5",0.265,"F","Wtsham"
"359",390,"V5",0.278083333333333,"F","Wtsham"
"360",405,"V5",0.303083333333333,"F","Wtsham"
"361",420,"V5",0.31975,"F","Wtsham"
"362",435,"V5",0.336583333333333,"F","Wtsham"
"363",450,"V5",0.356166666666667,"F","Wtsham"
"364",465,"V5",0.375333333333333,"F","Wtsham"
"365",480,"V5",0.39275,"F","Wtsham"
"366",495,"V5",0.404416666666667,"F","Wtsham"
"367",510,"V5",0.43225,"F","Wtsham"
